ime_film,datum_izdavanja,ocjena,trajanje_min,ime_zarn,ime_drzava,ime_redatelj,prezime_redatelj,ime_glumac,prezime_glumac,ime_nagrada,datum_osvajanja,box_office,budzet
Interstellar,2014-09-05,8.6,196,drama,United Kingdom,Christopher,Nolan,Matthew,McConaughey,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United Kingdom,Christopher,Nolan,Matthew,McConaughey,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United Kingdom,Christopher,Nolan,Matthew,McConaughey,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United States,Christopher,Nolan,Matthew,McConaughey,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United States,Christopher,Nolan,Matthew,McConaughey,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United States,Christopher,Nolan,Matthew,McConaughey,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United Kingdom,Christopher,Nolan,Matthew,McConaughey,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United Kingdom,Christopher,Nolan,Matthew,McConaughey,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United Kingdom,Christopher,Nolan,Matthew,McConaughey,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United States,Christopher,Nolan,Matthew,McConaughey,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United States,Christopher,Nolan,Matthew,McConaughey,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United States,Christopher,Nolan,Matthew,McConaughey,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United Kingdom,Christopher,Nolan,Anne,Hathaway,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United Kingdom,Christopher,Nolan,Anne,Hathaway,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United Kingdom,Christopher,Nolan,Anne,Hathaway,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United States,Christopher,Nolan,Anne,Hathaway,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United States,Christopher,Nolan,Anne,Hathaway,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United States,Christopher,Nolan,Anne,Hathaway,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United Kingdom,Christopher,Nolan,Anne,Hathaway,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United Kingdom,Christopher,Nolan,Anne,Hathaway,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United Kingdom,Christopher,Nolan,Anne,Hathaway,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United States,Christopher,Nolan,Anne,Hathaway,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United States,Christopher,Nolan,Anne,Hathaway,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United States,Christopher,Nolan,Anne,Hathaway,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United Kingdom,Christopher,Nolan,Jessica,Chastain,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United Kingdom,Christopher,Nolan,Jessica,Chastain,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United Kingdom,Christopher,Nolan,Jessica,Chastain,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United States,Christopher,Nolan,Jessica,Chastain,Best Production Design,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United States,Christopher,Nolan,Jessica,Chastain,Best Original Score,2015-02-08,701100000,165000000
Interstellar,2014-09-05,8.6,196,drama,United States,Christopher,Nolan,Jessica,Chastain,Academy Award for Best Visual Effects,2015-02-22,701100000,165000000
Interstellar,2014-09-05,8.6,196,sci-fi,United Kingdom,Christopher,Nolan,Jessica,Chastain,Best Production Design,2015-02-08,701100000,165000000
